"id";"name";"display_name";"lat";"lng";"timezone";"province_id"
"52";"Brossard";"Brossard";"45.454706";"-73.470661";"America/Montreal";"2"
"53";"Saint-Hubert";"Saint-Hubert";"45.4983322";"-73.4065074";"America/Montreal";"2"
"54";"La Prairie";"La-Prairie";"45.416889";"-73.488487";"America/Montreal";"2"
"55";"Alexandria";"Alexandria";"45.3111798";"-74.6367158";"America/Toronto";"1"
"56";"Chesterville";"Chesterville";"45.962879";"-71.821636";"America/Montreal";"2"
"57";"Laval";"Laval";"45.6066487";"-73.712409";"America/Montreal";"2"
"58";"Renfrew";"Renfrew";"45.4749199";"-76.6877186";"America/Toronto";"1"
"59";"Cobden";"Cobden";"45.6273519";"-76.8823605";"America/Toronto";"1"
"60";"LaSalle";"LaSalle";"45.4288669";"-73.631252";"America/Montreal";"2"
"61";"Mont-Saint-Hilaire";"Mont-Saint-Hilaire";"45.562";"-73.189";"America/Montreal";"2"
"62";"Saint Lazare";"Saint-Lazare";"45.399813";"-74.137765";"America/Montreal";"2"
"63";"Oshawa";"Oshawa";"43.8970929";"-78.8657912";"America/Toronto";"1"
"64";"Osgoode";"Osgoode";"45.1482547";"-75.601778";"America/Toronto";"1"
"65";"Sainte-Julie";"Sainte-Julie";"45.5924997";"-73.3426988";"America/Montreal";"2"
"66";"Brockville";"Brockville";"44.5895244";"-75.6842858";"America/Toronto";"1"
"67";"Carlsbad Springs";"Carlsbad-Springs";"45.369074";"-75.456097";"America/Toronto";"1"
"69";"Etobicoke";"Etobicoke";"43.6204946";"-79.5131983";"America/Toronto";"1"
"70";"Beloeil";"Beloeil";"45.5679246";"-73.2039469";"America/Montreal";"2"
"71";"Salaberry-de-Valleyfield";"Salaberry-de-Valleyfield";"45.2500909";"-74.1330862";"America/Montreal";"2"
"72";"L̩vis";"L̩vis";"45.344961";"-73.309854";"America/Montreal";"2"
"73";"Les Coteaux";"Les-Coteaux";"45.2593027";"-74.206729";"America/Montreal";"2"
"74";"Vaudreuil-Dorion";"Vaudreuil-Dorion";"45.404236";"-74.0379599";"America/Montreal";"2"
"76";"Ch̢teauguay";"Ch̢teauguay";"45.3601589";"-73.7494033";"America/Montreal";"2"
"77";"Manotick";"Manotick";"45.226422";"-75.686355";"America/Toronto";"1"
"78";"Peterborough";"Peterborough";"44.309058";"-78.319747";"America/Toronto";"1"
"79";"Cobourg";"Cobourg";"43.9593373";"-78.1677363";"America/Toronto";"1"
"80";"Lakefield";"Lakefield";"44.4227814";"-78.2721967";"America/Toronto";"1"
"81";"Port Hope";"Port-Hope";"43.949164";"-78.2934616";"America/Toronto";"1"
"82";"Burlington";"Burlington";"43.3255196";"-79.7990319";"America/Toronto";"1"
"83";"Orillia";"Orillia";"44.6082465";"-79.4196783";"America/Toronto";"1"
"84";"Barrie";"Barrie";"44.3893556";"-79.6903316";"America/Toronto";"1"
"85";"Boucherville";"Boucherville";"45.5913698";"-73.4364097";"America/Toronto";"1"
"86";"Kingston";"Kingston";"44.2311717";"-76.4859544";"America/Toronto";"1"
"87";"Vaughan";"Vaughn";"43.8372079";"-79.508276";"America/Toronto";"1"
"88";"Whitehorse";"Whitehorse";"60.7211871";"-135.0568449";"America/Whitehorse";"11"
"89";"Inuvik";"Inuvik";"68.3607437";"-133.7230177";"America/Inuvik";"12"
"90";"Val-des-Monts";"Val-des-Monts";"45.691964";"-75.680643";"America/Toronto";"2"
"91";"Boisbriand";"Boisbriand";"45.6126338";"-73.8383733";"America/Montreal";"2"
"92";"Moncton";"Moncton";"46.0878165";"-64.7782313";"America/Moncton";"4"
"93";"Buckingham";"Buckingham";"45.5864086";"-75.4168654";"America/Toronto";"2"
"94";"Sudbury";"Sudbury";"46.5513927";"-81.0354982";"America/Toronto";"1"
"95";"Magog";"Magog";"45.2664863";"-72.1479889";"America/Toronto";"2"
"96";"Saint Philippe";"Saint-Philippe";"45.3569439";"-73.4767279";"America/Montreal";"2"
"97";"North Bay";"North-Bay";"46.3091152";"-79.4608204";"America/Toronto";"1"
"98";"Arnprior";"Arnprior";"45.4347445";"-76.3518469";"America/Toronto";"1"
"99";"Beachburg";"Beachburg";"45.7357254";"-76.8631085";"America/Toronto";"1"
"100";"Metcalfe";"Metcalfe";"45.2203397";"-75.4659944";"America/Toronto";"1"
"101";"Barrhaven";"Barrhaven";"45.2751549";"-75.749846";"America/Toronto";"1"
"102";"Pembroke";"Pembroke";"45.8266513";"-77.1108826";"America/Toronto";"1"
"103";"Cambridge";"Cambridge";"43.3616211";"-80.3144276";"America/Toronto";"1"
"104";"Perth";"Perth";"44.8988097";"-76.2485592";"America/Toronto";"1"
"105";"Embrun";"Embrun";"45.275646";"-75.275411";"America/Toronto";"1"
"106";"Hull";"Hull";"45.428555";"-75.713193";"America/Montreal";"2"
"108";"Saint Catharines";"Saint-Catharines";"43.1593745";"-79.2468626";"America/Montreal";"2"
"109";"Morrisburg";"Morrisburg";"44.8977889";"-75.1833966";"America/Toronto";"1"
"110";"Rockland";"Rockland";"45.5483729";"-75.2916118";"America/Toronto";"1"
"111";"Petawawa";"Petawawa";"45.8982631";"-77.2828772";"America/Toronto";"1"
"112";"Merrickville";"Merrickville";"44.8455906";"-75.8105866";"America/Toronto";"1"
"113";"Breslau";"Breslau";"43.4691726";"-80.4094164";"America/Toronto";"1"
"114";"North Gower";"North-Gower";"45.1314849";"-75.7161333";"America/Toronto";"1"
"115";"Russell";"Russell";"45.2593424";"-75.3595538";"America/Toronto";"1"
"116";"Westport";"Westport";"44.6776761";"-76.3996659";"America/Toronto";"1"
"117";"Prescott";"Prescott";"44.709294";"-75.518972";"America/Toronto";"1"
