id,restaurant_id,sendToDelivery,disable_until,email,notes,commission,rpd
",218",995,y,,"mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",226",996,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",234",1002,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",235",1000,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",236",1008,y,,"mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",237",1010,y,,"mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",238",1009,y,,"mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",239",218,y,,"mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",240",1038,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",241",708,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",244",1051,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",245",219,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",246",980,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",247",334,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",248",1085,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",249",1090,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",250",1094,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
