"id","restaurant_id","language_id","global_course_id","name","description","display_order","available_for","time_period","enabled","added_by","added_at","disabled_by","disabled_at"
114,1595,1,4,"Salads","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
115,1595,1,5,"Sandwiches","",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
116,1595,1,6,"Shawarma","",19,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
117,1595,1,15,"Shawarma Platters","GARNISHES: lettuce, tomato, onions, pickle, turnip, olives, hot pepper, jalapeno pepper.",20,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
118,1595,1,3," Southern Fried Chicken","",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
119,1595,1,2,"Wings","Choose your sauce from pop-up menu.",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",5,"y",24,"2017-03-17 12:27:46",,
120,1,1,,"asdf","asdf",,,,"n",1,"2017-03-17 12:50:25",1,"2017-03-17 12:50:35"
121,1,1,,"123","",,,,"n",1,"2017-03-17 12:52:36",1,"2017-03-17 12:53:02"
122,1257,1,1,"Appetizers","",,,,"y",1,"2017-03-17 17:41:24",,
123,1150,1,1,"Appetizers","",,,,"y",1,"2017-03-20 16:22:55",,
124,1317,1,9,"Donairs","",,,,"y",1,"2017-03-21 14:56:35",,
125,1317,1,3,"Southern Fried Chicken","",,,,"y",1,"2017-03-21 14:56:35",,
126,1,1,,"tttt","",2,"{\""1\"": \""n\"", \""2\"": \""y\""}",,"y",1,"2017-03-27 17:45:12",,
127,1,1,,"combo dishes","",3,"{\""1\"": \""n\"", \""2\"": \""n\""}",,"y",1,"2017-03-29 11:08:41",,
128,1158,1,0,"Ygffh","",,,,"y",1,"2017-04-02 16:53:36",,
129,1158,1,5,"Sandwiches","",,,,"y",1,"2017-04-02 16:53:36",,
130,1595,1,,"Everyday Deals","",2,"{\""1\"": \""y\"", \""2\"": \""n\""}",,"y",24,"2017-04-26 10:36:46",,
131,1595,1,,"Unlisted Dishes","desc",1,"{\""1\"": \""n\"", \""2\"": \""n\""}",,"y",24,"2017-04-26 10:37:14",,
132,1026,1,17,"Appetizers","",,,,"y",1,"2017-12-20 16:04:18",,
133,1026,1,21,"Pizza","",,,,"y",1,"2017-12-20 16:04:18",,
134,1595,1,,"3","1",3,,,"y",1,"2018-03-02 07:27:47",,
135,1443,1,17,"Appetizers","",,,,"y",1,"2018-05-01 12:14:02",,
136,1443,1,21,"Pizza","",,,,"y",1,"2018-05-01 12:14:02",,
137,1596,1,6,"Shawarma","With garlic sauce.",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
138,1596,1,1,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
139,1596,1,8,"Cold Subs","Served with lettuce, tomatoes, cheese & mayo.",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
140,1596,1,16,"Desserts","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
141,1596,1,9,"Donairs","With garlic sauce & pickles.",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
142,1596,1,17,"Drinks","",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
143,1596,1,7,"Hot Subs","Served with lettuce, tomatoes, cheese & mayo.",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
144,1596,1,13,"Pasta","Served with a piece of garlic bread.",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2018-06-13 12:19:06",,
145,1596,1,14,"Platters","With fries & gravy.",9,,,"y",24,"2018-06-13 12:19:06",,
146,1596,1,10,"Poutine","With homemade gravy.",10,,,"y",24,"2018-06-13 12:19:06",,
147,1596,1,4,"Salads","Only fresh ingredients.",11,,,"y",24,"2018-06-13 12:19:06",,
148,1596,1,5,"Sandwiches","",12,,,"y",24,"2018-06-13 12:19:06",,
149,1596,1,2,"Wings","The best in town.",13,,,"y",24,"2018-06-13 12:19:06",,
150,1596,1,,"Pizza","Fresh dough made daily. ",,,,"y",24,"2018-06-13 12:49:21",,
151,1282,1,13,"Pasta","bla",,,,"y",36,"2019-04-29 03:06:09",,
152,1282,1,4,"Salads","",,,,"y",36,"2019-04-29 03:12:51",,
153,1597,1,1,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
154,1597,1,16,"Desserts","",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
155,1597,1,17,"Drinks","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
156,1597,1,11,"Pizza and Free 591ml Beverage","Gluten Free Crust available at no extra cost!
Now offering double the cheese at half the price.
All pizzas come with one Free 591ml Beverage.",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
157,1597,1,10,"Poutine","",5,,,"y",24,"2019-05-01 07:32:58",,
158,1597,1,4,"Salads","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
159,1597,1,3,"Southern Fried Chicken","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
160,1597,1,2,"Wings","",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 07:32:58",,
161,1597,1,,"Everyday Special","",,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2019-05-01 09:20:35",,
162,1562,1,17,"Appetizers","",,,,"y",24,"2019-10-08 12:23:58",,
163,1562,1,15,"Chicken","",,,,"y",24,"2019-10-08 12:23:58",,
164,1603,1,5,"Burgers - Sandwiches - Platters","All Platters include fries & gravy.",7,,,"y",24,"2020-01-13 15:16:35",,
165,1603,1,1,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",7,"y",24,"2020-01-13 15:16:35",,
166,1603,1,8,"Subs","All subs served with cheese, lettuce, tomatoes, pickles & mayo.",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:16:35",,
167,1603,1,16,"Desserts","",12,,,"y",24,"2020-01-13 15:16:35",,
168,1603,1,9,"Beef Donairs & Chicken Shawarma Wraps","All Platters include fries & gravy.",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:16:35",,
169,1603,1,17,"Drinks","",13,,,"y",24,"2020-01-13 15:16:35",,
170,1603,1,12,"Gourmet Pizza and 591ml Beverage","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:16:35",,
171,1603,1,13,"Pasta","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:16:35",,
172,1603,1,11,"Pizza and Free 591ml Beverage","",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",7,"y",24,"2020-01-13 15:16:35",,
173,1603,1,10,"Poutine","We use only St. Albert Cheese Curds.",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:16:35",,
174,1603,1,4,"Salads","Dressing available: Ranch (250 cals), Caesar (250 cals), Italian (250 cals), Greek (130 cals) & Creamy Garlic (250 cals).",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",7,"y",24,"2020-01-13 15:16:35",,
175,1603,1,2,"Wings","Available in mild (70 cals), medium (60 cals), hot suicide (50 cals), hot honey (70 cals) or honey garlic (70 cals).",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",8,"y",24,"2020-01-13 15:16:35",,
176,1603,1,3,"Southern Fried Chicken","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-01-13 15:52:32",,
177,1603,1,,"Daily Specials","",,"{\""1\"": \""y\"", \""2\"": \""y\""}",7,"y",24,"2020-01-23 10:20:20",,
178,1604,1,0,"Daily Specials","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
179,1604,1,1,"Appetizers","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
180,1604,1,8,"Cold Subs","ALL OUR SUBS INCLUDE CHEESE, LETTUCE, TOMATOES, PICKLES AND MAYO UNLESS OTHERWISE SPECIFIED",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
181,1604,1,16,"Desserts","",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
182,1604,1,9,"Donairs","Served with lettuce, red onions, tomatoes, pickles & garlic sauce or sweet sauce.",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
183,1604,1,17,"Drinks","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
184,1604,1,12,"Gourmet Pizza and 591ml Beverage","",1,,,"n",24,"2020-03-15 05:55:41",24,"2020-03-15 06:28:35"
185,1604,1,7,"Hot Subs","ALL OUR SUBS INCLUDE CHEESE, LETTUCE, TOMATOES, PICKLES AND MAYO UNLESS OTHERWISE SPECIFIED",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
186,1604,1,13,"Pasta","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
187,1604,1,11,"Pizza and Free 591ml Beverage","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
188,1604,1,14,"Platters","All platters served with fries, gravy & 1 pop",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
189,1604,1,10,"Poutine","Made from St Albert’s Cheese Curds  & Our Homemade Gravy.",12,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
190,1604,1,4,"Salads","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
191,1604,1,6,"Shawarma","Served with lettuce, red onions, tomatoes, pickles & garlic sauce",14,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
192,1604,1,2,"Wings","Wings served with sour cream and your choice of BBQ, medium, hot, suicide, honey garlic, buffalo hot or sweet chili thai sauce.",15,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-03-15 05:55:41",,
193,1604,1,,"Unlisted Dishes","",2,,,"y",24,"2020-04-21 09:46:29",,
194,1605,1,1,"Appetizers","All you need to start.",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
195,1605,1,8,"Cold Subs","Comes with lettuce, tomatoes, mayo & cheese.",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
196,1605,1,16,"Desserts","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
197,1605,1,17,"Drinks","",14,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
198,1605,1,7,"Hot Subs","Comes with lettuce, tomatoes, mayo & cheese.",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
199,1605,1,13,"Pasta","All pastas are homemade.",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
200,1605,1,11,"Pizza and Free 591ml Beverage","Best dough in town!",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
201,1605,1,14,"Platters","Served with fries & gravy.",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
202,1605,1,10,"Poutine","Made with St. Albert's Cheese Curds.",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
203,1605,1,4,"Salads","Fresh & light.",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
204,1605,1,5,"Sandwiches","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"n",24,"2020-08-26 04:21:53",24,"2020-08-26 04:55:38"
205,1605,1,6,"Shawarma","",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
206,1605,1,15,"Shawarma Platters","Served with fries & gravy.",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"n",24,"2020-08-26 04:21:53",24,"2020-08-26 04:57:20"
207,1605,1,2,"Wings","Select your sauce in pop-up menu.",12,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:21:53",,
208,1605,1,,"Dipping Sauces","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-08-26 04:33:43",,
209,1605,1,,"Daily Specials","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2020-09-04 07:49:25",,
210,1605,1,,"Curs nou","",15,,,"n",24,"2020-09-08 14:58:24",24,"2020-09-08 14:59:04"
211,1608,1,0,"Southern Style Fried Chicken","Comes with BBQ sauce.",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
212,1608,1,2,"Wings","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
213,1608,1,3,"Southern Fried Chicken","",5,,,"n",40,"2020-12-07 16:55:56",40,"2020-12-07 16:58:12"
214,1608,1,0,"2 Pizzas Deal","",11,,,"y",40,"2020-12-07 16:55:56",,
215,1608,1,0,"Daily Specials","",1,,,"y",40,"2020-12-07 16:55:56",,
216,1608,1,0,"Burgers, Sandwiches & Platters","All Platters include fries & gravy.",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
217,1608,1,4,"Salads","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
218,1608,1,1,"Appetizers","",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
219,1608,1,16,"Desserts","",14,,,"y",40,"2020-12-07 16:55:56",,
220,1608,1,17,"Drinks","",15,,,"y",40,"2020-12-07 16:55:56",,
221,1608,1,7,"Hot Subs","All subs served with cheese, lettuce, tomatoes, pickles & mayo.",7,,,"y",40,"2020-12-07 16:55:56",,
222,1608,1,13,"Pasta","",12,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
223,1608,1,11,"Pizza and Free 591ml Beverage","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
224,1608,1,14,"Platters","",12,,,"n",40,"2020-12-07 16:55:56",40,"2020-12-07 16:58:48"
225,1608,1,10,"Poutine","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:55:56",,
226,1608,1,,"Chicken Shawarma, Beef Donairs & Wraps","All Platters include fries & gravy.",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 16:59:52",,
227,1608,1,,"Gourmet Poutine","",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2020-12-07 17:31:12",,
228,1609,1,21,"kjhgf","",1,,,"y",1,"2021-01-26 15:45:06",,
229,1609,1,20,"test","",2,,,"y",1,"2021-01-26 15:45:06",,
230,1610,1,22,"test ","",,,,"y",40,"2021-01-26 15:50:33",,
231,1308,1,23,"indian 1","",,,,"y",24,"2021-01-26 16:27:08",,
232,1609,1,,"Starters","All starters are served with tamarind, mint or ketchup.",3,"{\""1\"": \""y\"", \""2\"": \""n\""}",,"y",24,"2021-01-28 17:43:05",,
233,1609,1,,"Soups","",5,,,"y",24,"2021-01-28 17:45:13",,
234,1609,1,,"Soups","",6,,,"y",24,"2021-01-28 17:45:25",,
235,1609,1,,"Main Vegetarian Dishes","",4,,,"y",24,"2021-01-28 17:46:12",,
236,1611,1,0,"Kids Menu","With fries & drink.",9,,,"y",24,"2021-05-26 11:42:41",,
237,1611,1,0,"Poutine","",8,,,"y",24,"2021-05-26 11:42:41",,
238,1611,1,0,"Burgers Solo","",6,"{\""1\"": \""y\"", \""2\"": \""n\""}",,"y",24,"2021-05-26 11:42:41",,
239,1611,1,0,"Chicken","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 11:42:41",,
240,1611,1,0,"Salads","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 11:42:41",,
241,1611,1,0,"Hot Dogs","",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 11:42:41",,
242,1611,1,0,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""n\""}",,"y",24,"2021-05-26 11:42:41",,
243,1611,1,,"Chicken COMBO","",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 11:51:55",,
244,1611,1,,"Burgers COMBO","",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 12:11:49",,
245,1611,1,,"Drinks","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-05-26 12:35:44",,
246,1612,1,0,"Drinks","",18,,,"y",24,"2021-12-08 11:18:02",,
247,1612,1,2,"Wings","",7,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
248,1612,1,3,"Southern Fried Chicken","",8,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
249,1612,1,0,"Pasta","",15,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
250,1612,1,0,"Pizza","Gluten Free crust available on small and medium size only. Now offering double the cheese at half the price.",14,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
251,1612,1,0,"Gourmet Poutine","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
252,1612,1,0,"Poutine","",12,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
253,1612,1,0,"Hot Subs","HOT & COLD SUBS
All subs are served with cheese, mayonnaise, lettuce, tomatoes and pickles.",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
254,1612,1,0,"Beef Donair and Chicken Shawarma Wraps","",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
255,1612,1,0,"Salads","",9,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
256,1612,1,0,"Daily Special","Gluten Free crust available on small and medium size only. Now offering double the cheese at half the price.",5,,,"y",24,"2021-12-08 11:18:02",,
257,1612,1,0,"2 Pizza and 2 free 591ml Drinks","Gluten Free crust available on small and medium size only. Now offering double the cheese at half the price.",4,,,"y",24,"2021-12-08 11:18:02",,
258,1612,1,0,"PIZZAS WITH FANTINO MONDELLO PANCETTA","",3,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
259,1612,1,0,"Feature Of The Month","",2,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
260,1612,1,0,"Desserts and Cookies","",1,,,"y",24,"2021-12-08 11:18:02",,
261,1612,1,1,"Appetizers","",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:18:02",,
262,1612,1,,"Burgers - Sandwiches - Platters","All platters include fries and gravy.",16,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:24:57",,
263,1612,1,,"VEGAN VEGAN VEGAN","",17,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2021-12-08 11:25:13",,
264,1614,1,5,"Sandwiches","",3,,,"y",24,"2022-01-05 17:39:41",,
265,1614,1,1,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2022-01-05 17:39:41",,
266,1614,1,16,"Desserts","",11,,,"y",24,"2022-01-05 17:39:41",,
267,1614,1,9,"Donairs","",4,,,"y",24,"2022-01-05 17:39:41",,
268,1614,1,17,"Drinks","",12,,,"y",24,"2022-01-05 17:39:41",,
269,1614,1,7,"Hot Subs","",6,,,"y",24,"2022-01-05 17:39:41",,
270,1614,1,13,"Pasta","",7,,,"y",24,"2022-01-05 17:39:41",,
271,1614,1,11,"Pizza and Free 591ml Beverage","",2,,,"y",24,"2022-01-05 17:39:41",,
272,1614,1,14,"Platters","",8,,,"y",24,"2022-01-05 17:39:41",,
273,1614,1,10,"Poutine","",9,,,"y",24,"2022-01-05 17:39:41",,
274,1614,1,4,"Salads","",10,,,"y",24,"2022-01-05 17:39:41",,
275,1614,1,2,"Wings","",5,,,"y",24,"2022-01-05 17:39:41",,
276,1613,1,5,"Sandwiches","",11,,,"y",24,"2022-01-05 17:39:42",,
277,1613,1,1,"Appetizers","",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2022-01-05 17:39:42",,
278,1613,1,16,"Desserts","",2,,,"y",24,"2022-01-05 17:39:42",,
279,1613,1,9,"Donairs","",3,,,"y",24,"2022-01-05 17:39:42",,
280,1613,1,17,"Drinks","",4,,,"y",24,"2022-01-05 17:39:42",,
281,1613,1,7,"Hot Subs","",5,,,"y",24,"2022-01-05 17:39:42",,
282,1613,1,13,"Pasta","",6,,,"y",24,"2022-01-05 17:39:42",,
283,1613,1,11,"Pizza and Free 591ml Beverage","",7,,,"y",24,"2022-01-05 17:39:42",,
284,1613,1,14,"Platters","",8,,,"y",24,"2022-01-05 17:39:42",,
285,1613,1,10,"Poutine","",9,,,"y",24,"2022-01-05 17:39:42",,
286,1613,1,4,"Salads","",12,,,"y",24,"2022-01-05 17:39:42",,
287,1613,1,2,"Wings","",10,,,"y",24,"2022-01-05 17:39:42",,
288,1614,1,,"Beer","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2022-01-05 17:45:48",,
289,1613,1,,"Beer","",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2022-01-05 17:46:01",,
290,1613,1,,"Curs Nou","",,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",40,"2022-01-07 08:24:17",,
291,1615,1,4,"Salads","",3,,,"y",40,"2022-01-10 17:50:38",,
292,1615,1,,"Side Orders","",15,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",44,"2022-01-10 17:53:24",,
293,1615,1,,"Hamburgers","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",44,"2022-01-10 17:53:33",,
