id,name,desc,xthpromo,xthitem,remove,removefrom,timeperiod,ciheader,restaurant,lang,order
661,Cold Subs,"All subs include cheese, lettuce, tomato, pickles and choice of dressing.To remove any of the above ingredients you can use the comment box at checkout.",n,0,0,t,0,,89,en,2
662,Hot Subs,,n,0,0,t,0,,89,en,3
663,Salads,,n,0,0,t,0,,89,en,4
664,Combos,All combos are served with garlic bread.,n,0,0,t,0,,89,en,5
665,Pita Pockets,Platters are served with fries and coleslaw.,n,0,0,t,0,,89,en,6
666,Seafood,,n,0,0,t,0,,89,en,7
667,Mexican,,n,0,0,t,0,,89,en,8
668,Donair and Shawarma,Chicken or Beef,n,0,0,t,0,,89,en,9
669,Greek,,n,0,0,t,0,,89,en,10
670,Chicken,,n,0,0,t,0,,89,en,11
671,Italian,All Pasta served with garlic bread.,n,0,0,t,0,,89,en,12
672,Sandwiches,,n,0,0,t,0,,89,en,13
673,Appetizers,,n,0,0,t,0,,89,en,14
674,Everyday Specials,,n,0,0,t,0,,89,en,1
675,Appetizers,,n,0,0,t,0,,90,en,0
676,Egg Foo Young,,n,0,0,t,0,,90,en,1
677,Chop Suey,,n,0,0,t,0,,90,en,2
678,Mixed Vegetables,,n,0,0,t,0,,90,en,3
679,Chicken Wings,,n,0,0,t,0,,90,en,4
680,Chicken Balls,,n,0,0,t,0,,90,en,5
681,Soup,,n,0,0,t,0,,90,en,6
682,Fried Rice,,n,0,0,t,0,,90,en,7
683,Chicken Soo Guy,,n,0,0,t,0,,90,en,8
684,Chicken Specialties,,n,0,0,t,0,,90,en,9
685,Beef,,n,0,0,t,0,,90,en,10
686,Pork and Spare Ribs,,n,0,0,t,0,,90,en,11
687,Extras,,n,0,0,t,0,,90,en,12
688,Sea Food,,n,0,0,t,0,,90,en,13
689,Hot and Spicy,,n,0,0,t,0,,90,en,14
690,Combination Plates,,n,0,0,t,0,,90,en,16
691,Complete Chinese Dinners,,n,0,0,t,0,,90,en,17
692,Special From Our Chef,,n,0,0,t,0,,90,en,15
