Phase 4.3: ingredient_groups Deserialization Errors
==================================================

Group 1: Empty BLOB data (item or price)
Group 3: Empty BLOB data (item or price)
Group 4: Empty BLOB data (item or price)
Group 5: Empty BLOB data (item or price)
Group 6: Empty BLOB data (item or price)
Group 7: Empty BLOB data (item or price)
Group 8: Empty BLOB data (item or price)
Group 9: Empty BLOB data (item or price)
Group 12: Empty BLOB data (item or price)
Group 13: Empty BLOB data (item or price)
Group 14: Empty BLOB data (item or price)
Group 15: Empty BLOB data (item or price)
Group 16: Empty BLOB data (item or price)
Group 17: Empty BLOB data (item or price)
Group 19: Empty BLOB data (item or price)
Group 20: Empty BLOB data (item or price)
Group 21: Empty BLOB data (item or price)
Group 22: Empty BLOB data (item or price)
Group 23: Empty BLOB data (item or price)
Group 24: Empty BLOB data (item or price)
Group 25: Empty BLOB data (item or price)
Group 26: Empty BLOB data (item or price)
Group 27: Empty BLOB data (item or price)
Group 28: Empty BLOB data (item or price)
Group 29: Empty BLOB data (item or price)
Group 31: Empty BLOB data (item or price)
Group 33: Empty BLOB data (item or price)
Group 34: Empty BLOB data (item or price)
Group 35: Empty BLOB data (item or price)
Group 36: Empty BLOB data (item or price)
Group 37: Empty BLOB data (item or price)
Group 38: Empty BLOB data (item or price)
Group 39: Empty BLOB data (item or price)
Group 40: Empty BLOB data (item or price)
Group 41: Empty BLOB data (item or price)
Group 44: Empty BLOB data (item or price)
Group 45: Empty BLOB data (item or price)
Group 46: Empty BLOB data (item or price)
Group 47: Empty BLOB data (item or price)
Group 48: Empty BLOB data (item or price)
Group 49: Empty BLOB data (item or price)
Group 50: Empty BLOB data (item or price)
Group 51: Empty BLOB data (item or price)
Group 52: Empty BLOB data (item or price)
Group 53: Empty BLOB data (item or price)
Group 54: Empty BLOB data (item or price)
Group 55: Empty BLOB data (item or price)
Group 56: Empty BLOB data (item or price)
Group 57: Empty BLOB data (item or price)
Group 58: Empty BLOB data (item or price)
Group 59: Empty BLOB data (item or price)
Group 60: Empty BLOB data (item or price)
Group 61: Empty BLOB data (item or price)
Group 62: Empty BLOB data (item or price)
Group 63: Empty BLOB data (item or price)
Group 64: Empty BLOB data (item or price)
Group 65: Empty BLOB data (item or price)
Group 66: Empty BLOB data (item or price)
Group 67: Empty BLOB data (item or price)
Group 68: Empty BLOB data (item or price)
Group 70: Empty BLOB data (item or price)
Group 71: Empty BLOB data (item or price)
Group 72, Ingredient 528: Invalid price '123'
Group 307: No price for ingredient 1922
Group 307: No price for ingredient 1954
Group 307: No price for ingredient 1955
Group 307: No price for ingredient 1956
Group 308: No price for ingredient 1918
Group 308: No price for ingredient 1922
Group 308: No price for ingredient 1954
Group 308: No price for ingredient 1955
Group 308: No price for ingredient 1956
Group 311: No price for ingredient 1991
Group 311: No price for ingredient 1992
Group 311: No price for ingredient 1993
Group 311: No price for ingredient 1994
Group 312: No price for ingredient 1971
Group 312: No price for ingredient 1972
Group 312: No price for ingredient 1973
Group 312: No price for ingredient 1974
Group 312: No price for ingredient 1975
Group 312: No price for ingredient 1976
Group 312: No price for ingredient 1977
Group 312: No price for ingredient 1978
Group 312: No price for ingredient 1979
Group 312: No price for ingredient 1980
Group 312: No price for ingredient 1981
Group 312: No price for ingredient 1982
Group 312: No price for ingredient 1983
Group 312: No price for ingredient 1984
Group 312: No price for ingredient 1985
Group 312: No price for ingredient 1986
Group 312: No price for ingredient 1987
Group 312: No price for ingredient 1988
Group 312: No price for ingredient 1989
Group 312: No price for ingredient 1990
Group 313: No price for ingredient 1995
Group 313: No price for ingredient 1996
Group 313: No price for ingredient 1997
Group 313: No price for ingredient 1998
Group 314: No price for ingredient 2000
Group 314: No price for ingredient 2001
Group 315: No price for ingredient 2002
Group 316: No price for ingredient 2003
Group 316: No price for ingredient 2004
Group 316: No price for ingredient 2005
Group 316: No price for ingredient 2006
Group 317: No price for ingredient 2007
Group 317: No price for ingredient 2008
Group 318: No price for ingredient 2025
Group 318: No price for ingredient 2009
Group 318: No price for ingredient 2010
Group 318: No price for ingredient 2011
Group 319: No price for ingredient 2012
Group 320: No price for ingredient 2013
Group 321: No price for ingredient 2026
Group 321: No price for ingredient 1998
Group 322: No price for ingredient 2016
Group 323: No price for ingredient 2022
Group 323: No price for ingredient 2023
Group 323: No price for ingredient 1971
Group 323: No price for ingredient 1982
Group 323: No price for ingredient 1986
Group 323: No price for ingredient 2018
Group 323: No price for ingredient 2019
Group 323: No price for ingredient 2020
Group 323: No price for ingredient 2021
Group 324: No price for ingredient 2023
Group 324: No price for ingredient 1982
Group 324: No price for ingredient 1986
Group 324: No price for ingredient 2018
Group 324: No price for ingredient 2019
Group 324: No price for ingredient 2020
Group 325: No price for ingredient 2023
Group 325: No price for ingredient 2024
Group 325: No price for ingredient 1982
Group 325: No price for ingredient 1986
Group 325: No price for ingredient 2018
Group 325: No price for ingredient 2019
Group 325: No price for ingredient 2020
Group 326: No price for ingredient 1982
Group 326: No price for ingredient 1986
Group 326: No price for ingredient 2018
Group 326: No price for ingredient 2019
Group 326: No price for ingredient 2020
Group 327: No price for ingredient 2047
Group 327: No price for ingredient 2048
Group 327: No price for ingredient 2049
Group 327: No price for ingredient 2050
Group 328: No price for ingredient 2027
Group 328: No price for ingredient 2028
Group 328: No price for ingredient 2029
Group 328: No price for ingredient 2030
Group 328: No price for ingredient 2031
Group 328: No price for ingredient 2032
Group 328: No price for ingredient 2033
Group 328: No price for ingredient 2034
Group 328: No price for ingredient 2035
Group 328: No price for ingredient 2036
Group 328: No price for ingredient 2037
Group 328: No price for ingredient 2038
Group 328: No price for ingredient 2039
Group 328: No price for ingredient 2040
Group 328: No price for ingredient 2041
Group 328: No price for ingredient 2042
Group 328: No price for ingredient 2043
Group 328: No price for ingredient 2044
Group 328: No price for ingredient 2045
Group 328: No price for ingredient 2046
Group 329: No price for ingredient 2051
Group 329: No price for ingredient 2052
Group 329: No price for ingredient 2053
Group 329: No price for ingredient 2054
Group 330: No price for ingredient 2056
Group 330: No price for ingredient 2057
Group 331: No price for ingredient 2058
Group 332: No price for ingredient 2059
Group 332: No price for ingredient 2060
Group 332: No price for ingredient 2061
Group 332: No price for ingredient 2062
Group 333: No price for ingredient 2063
Group 333: No price for ingredient 2064
Group 334: No price for ingredient 2081
Group 334: No price for ingredient 2065
Group 334: No price for ingredient 2066
Group 334: No price for ingredient 2067
Group 335: No price for ingredient 2068
Group 336: No price for ingredient 2069
Group 337: No price for ingredient 2082
Group 337: No price for ingredient 2054
Group 338: No price for ingredient 2072
Group 339: No price for ingredient 2078
Group 339: No price for ingredient 2079
Group 339: No price for ingredient 2027
Group 339: No price for ingredient 2038
Group 339: No price for ingredient 2042
Group 339: No price for ingredient 2074
Group 339: No price for ingredient 2075
Group 339: No price for ingredient 2076
Group 339: No price for ingredient 2077
Group 340: No price for ingredient 2079
Group 340: No price for ingredient 2038
Group 340: No price for ingredient 2042
Group 340: No price for ingredient 2074
Group 340: No price for ingredient 2075
Group 340: No price for ingredient 2076
Group 341: No price for ingredient 2079
Group 341: No price for ingredient 2080
Group 341: No price for ingredient 2038
Group 341: No price for ingredient 2042
Group 341: No price for ingredient 2074
Group 341: No price for ingredient 2075
Group 341: No price for ingredient 2076
Group 342: No price for ingredient 2038
Group 342: No price for ingredient 2042
Group 342: No price for ingredient 2074
Group 342: No price for ingredient 2075
Group 342: No price for ingredient 2076
Group 633, Ingredient 3290: Invalid price ''
Group 633, Ingredient 3291: Invalid price ''
Group 633, Ingredient 3292: Invalid price ''
Group 633, Ingredient 3293: Invalid price ''
Group 633, Ingredient 3294: Invalid price ''
Group 1854: Invalid BLOB structure (not dict/array)
Group 1855: Invalid BLOB structure (not dict/array)
Group 2959: Invalid BLOB structure (not dict/array)
Group 2960: Invalid BLOB structure (not dict/array)
Group 3334, Ingredient 15551: Invalid price ''
Group 3334, Ingredient 15552: Invalid price ''
Group 3334, Ingredient 15553: Invalid price ''
Group 3334, Ingredient 15554: Invalid price ''
Group 3729, Ingredient 18113: Invalid price ''
Group 4608: Invalid BLOB structure (not dict/array)
Group 7648: Invalid BLOB structure (not dict/array)
