v1_id,v3_id,restaurant_name,delivery_enabled,min_order,delivery_time,multipleDeliveryArea,use_delivery_areas,deliveryArea_blob_length,delivery_schedule_blob_length,fee_blob_length
248,126,Milano,1,15,55,N,,989,1267,141
255,131,Centertown Donair & Pizza,1,10,59,N,NULL,741,1198,141
257,133,Riverside Pizzeria,0,15,50,N,,1818,1207,141
264,139,Pizza Bravo,1,10,60,N,NULL,471,1207,1
275,143,Tony's Pizza,1,15,45,N,NULL,382,1277,141
280,147,Pho Dau Bo Restaurant - Kitchener,0,10,30,N,NULL,742,1207,1
294,160,Hong Kong Chinese Food Takeout,1,15,50,N,,782,1198,141
312,174,Lucky King Take Out,1,23.50,60,N,NULL,696,1198,141
318,180,Indian Punjabi Clay Oven,0,35,60,N,NULL,712,1257,137
323,943,Charm Thai Cuisine,0,25,60,N,,1150,1207,141
328,190,Milano,1,15,50,N,,1018,1207,141
334,196,Colonnade Pizza,0,20,60,N,,628,1207,138
337,199,Pho Bo Ga King - Somerset,0,20,59,N,NULL,603,1207,138
344,205,Mont Liban Bakery & Shawarma,1,15,45,N,NULL,627,1267,1
346,1013,Papa Pizza Maloney,1,8,40,N,NULL,586,1207,141
350,211,Erman Pizza,1,10,45,N,NULL,1223,1237,141
374,234,New Mukut Restaurant Indian Cuisine,0,12,55,N,NULL,500,1207,1
383,241,Beneci Pizza,1,10,50,N,NULL,842,1207,138
387,245,Orchid Sushi,1,20,45,N,,796,1207,1
411,265,Milano,0,15,0,N,NULL,116,1198,1
413,267,Lucky Fortune,1,20,45,N,,586,1207,141
415,269,Shaan Tandoori,1,30,60,N,NULL,1534,1267,141
489,328,JN Pizza,1,10,45,Y,NULL,2061,1207,145
511,1017,Sushi Express Chambly,1,15,40,N,,2818,1207,139
512,349,Milano,1,15,50,N,NULL,839,1207,137
513,350,Milano,1,15,50,Y,NULL,590,1207,142
532,367,Xtreme Pizza,1,12,45,N,,1209,1207,141
542,376,Sachi Sushi,1,15,55,N,NULL,920,1207,1
547,985,Yorgo's - Nepean,1,"10,10",45,Y,,1077,1207,145
612,437,Papa Joe's Fried Chicken - Downtown,1,10,45,N,NULL,2762,1237,141
669,479,iCook Pho You,0,15,0,N,,4,1207,1
694,941,Ting's Kitchen,0,35,60,N,NULL,651,1198,141
695,491,Light of India,0,35,60,N,,764,1207,138
701,497,Rangoli,1,25,40,N,NULL,614,1207,138
703,1014,Papa Pizza Val-Des-Monts,1,15,75,N,NULL,815,1207,141
707,502,New Hong Kong,0,25,45,N,NULL,1522,1207,138
712,507,Pizza Lovers Hunt Club,1,12,40,N,NULL,1170,1227,140
716,511,Egg Roll Factory,1,20,45,N,NULL,1177,1207,141
721,515,Napolis,1,14,50,N,NULL,669,1248,141
727,519,HaNoi Pho,0,0,0,N,NULL,4,1207,1
729,521,Palermo Pizzeria,1,12,50,Y,NULL,2744,1227,149
758,540,Papa Grecque des Flandres,1,15,50,N,NULL,1528,1207,138
781,561,Aahar The Taste of India,1,30,60,N,,714,1144,141
782,562,Pizza des Hautes Plaines,1,12,45,N,NULL,898,1198,141
785,565,Milano,1,15,60,N,,962,1227,141
789,569,Milano,1,15,55,Y,NULL,1507,1227,145
805,584,Crispy's,1,15,55,N,NULL,1210,1207,141
807,586,Milano,1,15,60,Y,,3474,1207,153
815,593,Milano,0,15,0,N,NULL,4,1207,1
817,595,Supreme Pizzeria,1,15,50,N,NULL,1332,1207,141
818,596,Sushi Fleury,0,15,45,Y,NULL,1997,1198,143
824,601,Milano,1,15,50,Y,,953,1227,145
825,602,Papa Pizza Cantley,1,10,48,N,NULL,897,1207,141
830,607,Aroy Thai,0,10,50,N,NULL,1084,1258,141
838,614,Marina Pizza des Flandres,1,10,45,N,NULL,831,1207,138
840,616,Papa Grecque Maloney,1,15,50,N,NULL,710,1207,138
850,624,Milano,1,15,60,N,,1208,1207,141
856,630,Asia Garden Ottawa,1,32,55,Y,,2186,1198,145
863,636,Joes Family Pizzeria,1,10,60,Y,,2934,1189,145
865,638,Digby's Restaurant,1,20,45,N,NULL,1211,1198,141
869,641,China Moon,1,12,45,N,,1583,1207,141
872,644,Mozza Pizza Hull,1,14,45,N,NULL,1639,1277,141
874,646,JC Royal Thai Cuisine,0,15,45,N,NULL,3010,1198,146
879,651,Milano,1,15,55,N,,645,1207,141
889,660,Milano,1,15,50,Y,,1705,1207,138
913,680,Milano,1,15,50,Y,NULL,2733,1207,157
914,681,Oka's Hull,1,13,45,Y,NULL,1883,1207,145
930,696,Pizza Maisonneuve,1,10,45,N,NULL,1026,1237,141
937,701,Milano,1,15,50,Y,NULL,1441,1207,145
947,711,Supreme Pizzeria,1,15,45,N,NULL,776,1207,141
948,712,Patate Lou Lou,1,5,90,N,NULL,713,1207,141
951,714,Ogilvie Pizza,1,12,50,N,NULL,1026,1267,141
952,715,La Poutinerie Ogilvie,1,15,40,N,,1638,1227,138
953,716,PizzaRama,1,8,40,Y,NULL,1566,1207,145
959,721,La Maison Pho,0,,60,N,NULL,4,1207,1
964,726,Pizza Joanna,1,12,45,Y,NULL,1078,1198,149
965,727,La Maison du Burger,1,10,45,N,NULL,901,1237,141
968,730,Friendly Restaurant and Pizzeria,1,30,60,Y,NULL,12366,1207,149
973,735,Amicci Pizza,1,10,45,Y,NULL,1753,1207,145
974,736,Greber Pizza et Shawarma,1,10,45,N,NULL,1026,1207,141
983,745,Sala Thai,0,,0,N,NULL,4,1207,1
987,749,Milano,1,15,45,N,,713,1207,141
989,751,Milano,1,15,50,N,,1022,1207,141
998,756,Little Gyros Greek Grill,0,,0,N,NULL,4,1198,1
1013,924,All Out Burger Bank St.,0,5,0,N,NULL,4,1137,1
1025,783,Colonnade Pizza,0,20,50,N,,628,1207,138
1027,784,Colonnade Pizza,0,20,50,N,,628,1207,138
1028,785,Colonnade Pizza,0,20,50,N,,628,1207,138
1032,789,Poutinerie Québecurds Hull,1,15,50,N,NULL,1022,1207,141
1033,790,Nachos Loco Hull,1,15,50,N,NULL,1022,1207,141
1035,792,Dumpling Bowl,0,,45,N,NULL,4,1207,1
1038,948,All Out Burger Gladstone,0,15,58,N,,0,1207,1
1039,795,Papa Pizza Chem. de Masson,1,15,50,N,,839,1207,141
1041,797,Papa Burger,1,15,50,N,NULL,779,1207,141
1042,798,Kabylie Pizza,1,15,50,Y,NULL,1387,1207,145
1045,801,Nachos Loco Gatineau,1,15,50,Y,,2733,1207,157
1046,1015,Poutinerie Québecurds Gatineau,1,15,50,Y,,2733,1207,157
1050,806,Crispy's Bank Street,0,15,55,N,,1210,1207,141
1051,807,Oh My Grill,1,,60,N,NULL,4,1207,1
1054,810,Papa Grecque Cantley,1,10,45,N,NULL,4,1207,1
1059,815,Golden Center Pizza,1,,35,N,NULL,898,1207,138
1060,816,Dépanneur Généreux,1,,50,Y,NULL,1821,1207,142
1062,818,Milano,1,,50,Y,NULL,13352,1207,163
1063,819,Milano,1,15,45,Y,NULL,2439,1207,145
1064,820,Vieux Hull Pizza,1,10,45,N,NULL,650,1277,1
1065,821,Milano,1,20,50,N,NULL,1335,1207,138
1066,822,Papa Burger Maloney,1,15,50,N,,586,1207,141
1069,824,Prima Pizza,1,13,45,N,NULL,4,1277,1
1070,825,La Nawab V2,0,5,0,N,NULL,4,1137,1
1071,949,All Out Burger Montreal Rd,0,,0,N,NULL,4,1137,1
1074,829,Pizzalicious,0,,45,N,NULL,773,1207,140
1082,835,Milano,1,15,30,N,NULL,1084,1207,141
1083,836,Souvlaki Souvlaki,1,15,45,N,NULL,1212,1207,141
1084,837,Milano,1,15,40,N,NULL,1330,1207,141
1087,840,Milano,1,,40,N,NULL,593,1207,141
1088,841,All Out Burger,0,,0,N,,0,1137,1
1089,842,Milano,1,15,50,N,NULL,775,1207,141
1092,845,Mykonos Greek Grill,1,15,45,Y,NULL,2439,1207,145
1093,846,Mykonos Greek Grill,1,15,60,N,NULL,1822,1207,145
1094,847,Sushiyana,1,15,60,N,NULL,4,1207,1
