"id";"restaurant";"domain"
"348";"162";"houseofpizzarichmond.menu.ca"
"349";"162";"houseofpizza.menuottawa.com"
"350";"925";"order.phonha.ca"
"351";"940";"chilithai.menu.ca"
"352";"280";"kitchener.phodaubo.net"
"353";"280";"phodaubo.net"
"354";"1004";"barrhaven.vietnamesephohouse.com"
"355";"1005";"kanata.vietnamesephohouse.com"
"356";"1002";"benecipizzavanier.com"
"357";"695";"lightofindia.menu.ca"
"358";"884";"1741stlaurent.1for1pizzaottawa.com"
"359";"986";"rinag.menu.ca"
"360";"764";"burgerlovers.ca"
"361";"519";"wowsushimontreal.menu.ca"
"362";"519";"wowsushimontreal.ca"
"363";"419";"souslepalmier.ca"
"364";"419";"souslepalmier.menu.ca"
"365";"921";"pizzariverview.ca"
"366";"142";"pineviewkiki.menu.ca"
"367";"142";"pineviewkiki.com"
"368";"826";"centrepizzaottawa.com"
"369";"1017";"montako.menu.ca"
"370";"965";"commande.lamaisonduburger.com"
"371";"1022";"eddylebanese.com"
"372";"1027";"colonnade2140carling.menu.ca"
"373";"919";"3brothersrideau.menu.ca"
"374";"919";"order.3brothersshawarma.com"
"375";"1010";"phoboga2.ca"
"376";"154";"winghing.menu.ca"
"377";"154";"winghing.menuottawa.com"
"378";"1009";"phobogaexpress.ca"
"379";"959";"lamaisonpho.com"
"380";"453";"fatalbertsrussell.menu.ca"
"381";"453";"russell.fatalberts.ca"
"382";"453";"fatalbertsrussel.com"
"383";"1029";"cousinvinnyspizzeria.com"
"384";"1020";"westborosubs.com"
"385";"374";"mukutorleans.menu.ca"
"386";"374";"mukutorleans.com"
"387";"914";"opas-hull.com"
"388";"914";"okashull.com"
"389";"736";"shawarmahousewalkley.menu.ca"
"390";"736";"shawarmahousewalkley.com"
"391";"1030";"yotisrestaurant.ca"
"392";"1037";"stacked.menu.ca"
"393";"722";"beneci.menu.ca"
"394";"722";"order.beneci.com"
"395";"894";"lorenzobarandgrill.com"
"396";"286";"phoxua.ca"
"397";"286";"phoxua.menu.ca"
"398";"656";"order.justwok.ca"
"399";"656";"justwok.menu.ca"
"400";"1039";"masson.papapizza.ca"
"401";"756";"pizzaladifferenceaylmer.com"
"402";"189";"andiamopizzeria.ca"
"403";"1033";"hull.nachosloco.ca"
"404";"1032";"hull.poutineriequebecurds.ca"
"405";"1045";"gatineau.nachosloco.ca"
"406";"600";"bridlepath.papajoespizza.ca"
"407";"620";"bridlepath.papajoesfriedchicken.ca"
"408";"620";"papajoesfriedchicken.menu.ca"
"409";"1040";"pareaorleans.ca"
"410";"541";"owok.ca"
"411";"157";"houseofpizzawalkley.menu.ca"
"412";"157";"houseofpizzawalkley.com"
"413";"157";"houseofpizzawalkley.ca"
"414";"157";"walkley.papajoespizza.ca"
"415";"205";"casselman.menu.ca"
"416";"205";"casselman.milanopizzeria.ca"
"417";"937";"morrisburg.milanopizzeria.ca"
"418";"892";"szechuan.menu.ca"
"419";"877";"pubhouse.ca"
"420";"455";"portedelinde.ca"
"421";"455";"portedelinde.menu.ca"
"422";"1050";"crispysbank.menu.ca"
"423";"127";"milanomontrealroad.menu.ca"
"424";"127";"montreal.milanopizzeria.ca"
"425";"864";"masalamama.ca"
"426";"1035";"dumplingbowl.menu.ca"
"427";"824";"stittsville.milanopizzeria.ca"
"428";"1023";"order.golden-crust.ca"
"429";"1054";"cantley.papagrecque.com"
"430";"805";"crispyswoodroofe.menu.ca"
"431";"1058";"ottawaliquorservice.com"
"432";"1060";"depanneurgenereux.com"
"433";"264";"pizzabravogatineau.com"
"434";"264";"pizzabravogatineau.menu.ca"
"435";"970";"lamaisongrillee.com"
"436";"1018";"bankshawarmaandpoutine.com"
"437";"825";"cantley.papapizzagatineau.com"
"438";"825";"cantley.papapizza.ca"
"439";"184";"papapizzahull.com"
"440";"184";"hull.papapizza.ca"
"441";"672";"thewokottawa.com"
"442";"672";"thewokottawa.menu.ca"
"443";"145";"mrmozzarellanepean.menu.ca"
"444";"1064";"vieuxhullpizza.com"
"445";"231";"commande.papapizzagatineau.com"
"446";"231";"gatineau-ouest.papapizza.ca"
"447";"1041";"papaburger.ca"
"448";"1038";"gladstone.alloutburger.com"
"449";"1013";"2560bank.alloutburger.com"
"450";"173";"opasgatineau.menu.ca"
"451";"173";"opasgatineau.com"
"452";"173";"oppas.ca"
"453";"173";"roulas.ca"
"454";"1016";"argosgreek.com"
"455";"1016";"order.argosgreek.com"
"456";"789";"baseline.milanopizzeria.ca"
"457";"840";"maloney.papagrecque.com"
"458";"346";"maloney.papapizzagatineau.com"
"459";"346";"gatineau-est.papapizza.ca"
"460";"839";"maloney.pizzamarina.ca"
"461";"953";"pizzaramagatineau.ca"
"462";"1066";"257maloney.papaburger.ca"
"463";"988";"pizzabob.ca"
"464";"95";"bronson.papajoespizza.ca"
"465";"989";"hull.milanopizzeria.ca"
"466";"193";"houseofgeorgie.menu.ca"
"467";"193";"menuottawa.houseofgeorgie.ca "
"468";"952";"lapoutinerieogilvie.ca"
"469";"1072";"luckykeychinesefood.com"
"470";"392";"restaurantletandoor.ca"
"471";"392";"restaurantletandoor.menu.ca"
"472";"1044";"thecupboardarnprior.com"
"473";"161";"merivale.milanopizzeria.ca"
"474";"785";"spratt.milanopizzeria.ca"
"475";"1019";"roulasjusetgelato.com"
"476";"1073";"ottawakababongladstone.com"
"477";"1079";"menu.ca"
"478";"1028";"colonnadebarrhaven.menu.ca"
"479";"985";"fullhouseasiancuisine.ca"
"480";"228";"chezgerry.ca"
"481";"228";"chezgerry.menu.ca"
"482";"513";"winchester.milanopizzeria.ca "
"483";"1007";"order.hanahana.ca"
"484";"542";"sachisushimontreal.ca"
"485";"542";"sachisushimontreal.menu.ca"
"486";"376";"bangkokthaigarden.ca"
"487";"376";"bangkokthaigarden.menu.ca"
"488";"1034";"samosgreek.ca"
"489";"711";"ottawabeerman.com"
"490";"711";"thebeerman.ca"
"491";"512";"osgoode.milanopizzeria.ca"
"492";"889";"wilsonstperth.milanopizzeria.ca"
"493";"547";"nepean.yorgo.ca"
"494";"547";"nepean.yorgo.menu.ca"
"495";"134";"houseofpizzaorleans.ca"
"496";"134";"houseofpizzaorleans.menu.ca"
"497";"172";"milanotompkins.menu.ca"
"498";"172";"tompkins.milanopizzeria.ca"
"499";"213";"kemptville.milanopizzeria.ca"
"500";"1081";"westport.milanopizzeria.ca"
"501";"1083";"souvlakisouvlaki.com"
"502";"334";"colonnade280metcalfe.menu.ca"
"503";"1063";"northgower.milanopizzeria.ca"
"504";"94";"mamarosa.menu.ca"
"505";"94";"mamarosa.ca"
"506";"978";"petawawa.milanopizzeria.ca"
"507";"413";"luckyfortune.ca"
"508";"413";"luckyfortune.menu.ca"
"509";"1082";"glebe.milanopizzeria.ca"
"510";"318";"indianclayoven.ca"
"511";"318";"indianclayoven.menu.ca"
"512";"130";"bienphoorleans.menu.ca"
"513";"130";"bienphoorleans.com"
"514";"861";"order.lorenzos.com"
"515";"1059";"goldencenterpizza.com"
"516";"998";"breslau.littlegyrosgreek.ca"
"517";"963";"thegreekflameandpizza.com"
"518";"411";"cobden.milanopizzeria.ca"
"519";"807";"arnprior.milanopizzeria.ca"
"520";"1071";"585mtlroad.alloutburger.com"
"521";"164";"milanoinnes.menu.ca"
"522";"164";"innes.milanopizzeria.ca"
"523";"1087";"princeofwales.milanopizzeria.ca"
"524";"1085";"lhibouquirit.com"
"525";"879";"woodfield.milanopizzeria.ca"
"526";"323";"charmthaicuisineottawa.com"
"527";"874";"order.jcroyalthai.com"
"528";"1088";"barrhaven.alloutburger.com"
"529";"1080";"embrun.alloutburger.com"
"530";"239";"hungmein.ca"
"531";"239";"hungmein.menu.ca"
"532";"1090";"gatineau.ohmygrill.ca"
"533";"1051";"169york.ohmygrill.ca"
"534";"1093";"kemptville.mykonosgreekgrill.ca"
"535";"856";"asiagarden.ca"
"536";"865";"digbysrestaurant.com"
"537";"207";"milanodalhousie.menu.ca"
"538";"207";"dalhousie.milanopizzeria.ca"
"539";"1084";"carlsbadsprings.milanopizzeria.ca"
"540";"183";"aylmerbbq.menu.ca"
"541";"183";"aylmerbbq.ca"
"542";"947";"pizzeriasupreme.ca"
"543";"146";"merivalepizzaandwings.menu.ca"
"544";"146";"merivalepizzaandwings.com"
"545";"101";"newmeefung.menu.ca"
"546";"101";"newmeefung.com"
"547";"101";"newmeefung.ca"
"548";"219";"ottawalemongrass.com"
"549";"219";"ottawalemongrass.menu.ca"
"550";"948";"patateloulouaylmer.ca"
"551";"132";"mozzapizzagatineau.com"
"552";"872";"mozzapizzahull.com"
"553";"869";"chinamoongatineau.com"
"554";"238";"manotickpizza.com"
"555";"238";"manotickpizza.menu.ca"
"556";"238";"manocitypizza.ca"
"557";"224";"ginkgogarden.menu.ca"
"558";"224";"ginkgogarden.ca"
"559";"200";"originalgeorgies.menu.ca"
"560";"200";"originalgeorgies.com"
"561";"703";"papapizzavaldesmonts.com"
"562";"703";"val-des-monts.papapizza.ca"
"563";"669";"icookphoyou.com"
"564";"669";"icookphoyou.menu.ca"
"565";"782";"pizzadeshautesplaines.com"
"566";"187";"cathayottawa.menu.ca"
"567";"187";"cathayottawa.com"
"568";"199";"seasonspizzaottawa.ca"
"569";"199";"seasonspizzaottawa.menu.ca"
"570";"179";"no1chinesefood.menu.ca"
"571";"179";"no1chinesefood.menuottawa.com"
"572";"179";"no1chinesefoodottawa.com"
"573";"294";"hongkongottawa.com"
"574";"294";"hongkongottawa.menu.ca"
"575";"694";"tingskitchen.ca"
"576";"1092";"northgower.mykonosgreekgrill.ca"
"577";"781";"aaharaltavista.menu.ca"
"578";"1094";"sushiyanamontbleu.ca"
"579";"968";"order.friendlypizza.ca"
"580";"140";"cypressgarden.ca"
"581";"312";"luckykingtakeout.com"
"582";"312";"luckykingtakeout.menu.ca"
"583";"1062";"rockland.milanopizzeria.ca"
"584";"211";"milanobarrhaven.menu.ca"
"585";"211";"barrhaven.milanopizzeria.ca"
"586";"790";"pizza9.ca"
"587";"1089";"prescott.milanopizzeria.ca"
"588";"143";"originalbobbies.menu.ca"
"589";"143";"originalbobbies.com"
"590";"818";"sushifleury.ca"
"591";"275";"tonyspizza.menu.ca"
"592";"275";"order.tonys-pizza.ca"
"593";"245";"carletonplace.milanopizzeria.ca"
"594";"190";"bank.milanopizzeria.ca"
"595";"337";"somerset.phobogakingottawa.com"
"596";"337";"phobogakingottawa.com"
"597";"727";"hanoi-pho.menu.ca"
"598";"974";"greberpizzaetshawarma.ca"
"599";"383";"benecipizzeria.menu.ca"
"600";"964";"pizzajoanna.menu.ca"
"601";"511";"sushiexpressfantasia.ca"
"602";"511";"sushiexpressfantasia.menu.ca"
"603";"511";"sushilongueuil.ca"
"604";"90";"luckystar.menu.ca"
"605";"90";"luckystarchinesefoods.com"
"606";"707";"newhongkongchinese.ca"
"607";"651";"royalthai.menu.ca"
"608";"208";"stlaurent.menu.ca"
"609";"208";"stlaurent.milanopizzeria.ca"
"610";"721";"napoliswestboro.ca"
"611";"850";"alfred.milanopizzeria.ca"
"612";"203";"champathai.ca"
"613";"203";"champathai.menu.ca"
"614";"257";"riversidepizzeriaottawa.ca"
"615";"255";"centertowndonair.com"
"616";"255";"centertowndonair.menu.ca"
"617";"833";"renfrew.milanopizzeria.ca"
"618";"532";"ottawa.xtremepizzaottawa.com"
"619";"364";"lafamigliaonthedanforth.ca"
"620";"206";"bourget.milanopizzeria.ca"
"621";"1042";"kabyliepizza.com"
"622";"89";"imiliospizzeria.menu.ca"
"623";"89";"imiliospizzeria.ca"
"624";"987";"merrickville.milanopizzeria.ca"
"625";"913";"gatineau.milanopizzeria.ca"
"626";"913";"3boulstrene.milanopizzeria.ca"
"627";"1025";"colonnade1500bank.menu.ca"
"628";"701";"rangoli.menu.ca"
"629";"391";"stjean.marios.menu.ca"
"630";"817";"supremepizzeriadonald.ca"
"631";"362";"ottawa-pizza.ca"
"632";"362";"ottawapizza.menu.ca"
"633";"362";"ottawa2for1pizza.com"
"634";"114";"pizzalime.menu.ca"
"635";"114";"menu"
"636";"114";"lou.hopto.orgg"
"637";"225";"lechoixaylmer.com"
"638";"1069";"primapizza.ca"
"639";"983";"salathaicuisine.menu.ca"
"640";"248";"milanohazeldean.menu.ca"
"641";"248";"hazeldean.milanopizzeria.ca"
"642";"712";"pizzalovershc.menu.ca"
"643";"800";"my_domain.menu.ca"
"644";"415";"shaantandooribrossard.ca"
"645";"415";"shaantandooribrossard.menu.ca"
"646";"192";"lorenzos.menu.ca"
"647";"192";"lorenzosottawa.ca"
"648";"192";"lorenzosdelivery.ca"
"649";"192";"lorenzosdelivery.menu.ca"
"650";"1046";"gatineau.poutineriequebecurds.ca"
"651";"716";"eggrollfactory.ca"
"652";"716";"eggrollfactory.menu.ca"
"653";"830";"aroythaibarrhaven.ca"
"654";"863";"joesfamilypizzeria.ca"
"655";"489";"jnpizza.ca"
"656";"489";"order.jnpizza.com"
"657";"209";"milanomanotick.menu.ca"
"658";"209";"manotick.milanopizzeria.ca"
"659";"124";"eastviewpizza.menu.ca"
"660";"124";"eastviewpizza.ca"
"661";"344";"montliban.menu.ca"
"662";"344";"montliban.ca"
"663";"387";"orchidsushiottawa.ca"
"664";"387";"orchidsushiottawa.menu.ca"
"665";"1074";"pizzaliciousottawa.com"
"666";"1065";"russell.milanopizzeria.ca"
"667";"815";"beachburg.milanopizzeria.ca"
"668";"204";"smithsfalls.milanopizzeria.ca"
"669";"328";"milanoperth.menu.ca"
"670";"328";"richmond.milanopizzeria.ca"
"671";"117";"houseoflasagna.ca"
"672";"117";"houseoflasagna.menu.ca"
"673";"246";"carlospizzeria.ca"
"674";"246";"carlospizzeria.menu.ca"
